MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10003448599,000000000023738688,0.160,Active Import Interval (kW),29-09-2024 07:00
10003448599,000000000023738688,0.162,Active Import Interval (kW),29-09-2024 06:30
10003448599,000000000023738688,0.168,Active Import Interval (kW),29-09-2024 06:00
10003448599,000000000023738688,0.138,Active Import Interval (kW),29-09-2024 05:30
10003448599,000000000023738688,0.114,Active Import Interval (kW),29-09-2024 05:00
10003448599,000000000023738688,0.120,Active Import Interval (kW),29-09-2024 04:30
10003448599,000000000023738688,0.992,Active Import Interval (kW),29-09-2024 04:00
10003448599,000000000023738688,0.780,Active Import Interval (kW),29-09-2024 03:30
10003448599,000000000023738688,1.868,Active Import Interval (kW),29-09-2024 03:00
10003448599,000000000023738688,1.590,Active Import Interval (kW),29-09-2024 02:30
10003448599,000000000023738688,0.194,Active Import Interval (kW),29-09-2024 02:00
10003448599,000000000023738688,0.214,Active Import Interval (kW),29-09-2024 01:30
10003448599,000000000023738688,0.266,Active Import Interval (kW),29-09-2024 01:00
10003448599,000000000023738688,0.260,Active Import Interval (kW),29-09-2024 00:30
10003448599,000000000023738688,0.268,Active Import Interval (kW),29-09-2024 00:00
10003448599,000000000023738688,0.276,Active Import Interval (kW),28-09-2024 23:30
10003448599,000000000023738688,0.228,Active Import Interval (kW),28-09-2024 23:00
10003448599,000000000023738688,0.198,Active Import Interval (kW),28-09-2024 22:30
10003448599,000000000023738688,0.204,Active Import Interval (kW),28-09-2024 22:00
10003448599,000000000023738688,0.256,Active Import Interval (kW),28-09-2024 21:30
10003448599,000000000023738688,0.266,Active Import Interval (kW),28-09-2024 21:00
10003448599,000000000023738688,0.332,Active Import Interval (kW),28-09-2024 20:30
10003448599,000000000023738688,3.284,Active Import Interval (kW),28-09-2024 20:00
10003448599,000000000023738688,0.162,Active Import Interval (kW),28-09-2024 19:30
10003448599,000000000023738688,0.152,Active Import Interval (kW),28-09-2024 19:00
10003448599,000000000023738688,0.178,Active Import Interval (kW),28-09-2024 18:30
10003448599,000000000023738688,0.214,Active Import Interval (kW),28-09-2024 18:00
10003448599,000000000023738688,0.216,Active Import Interval (kW),28-09-2024 17:30
10003448599,000000000023738688,0.204,Active Import Interval (kW),28-09-2024 17:00
10003448599,000000000023738688,0.342,Active Import Interval (kW),28-09-2024 16:30
10003448599,000000000023738688,0.168,Active Import Interval (kW),28-09-2024 16:00
10003448599,000000000023738688,0.226,Active Import Interval (kW),28-09-2024 15:30
10003448599,000000000023738688,0.226,Active Import Interval (kW),28-09-2024 15:00
10003448599,000000000023738688,0.382,Active Import Interval (kW),28-09-2024 14:30
10003448599,000000000023738688,0.210,Active Import Interval (kW),28-09-2024 14:00
10003448599,000000000023738688,0.172,Active Import Interval (kW),28-09-2024 13:30
10003448599,000000000023738688,0.136,Active Import Interval (kW),28-09-2024 13:00
10003448599,000000000023738688,0.154,Active Import Interval (kW),28-09-2024 12:30
10003448599,000000000023738688,0.158,Active Import Interval (kW),28-09-2024 12:00
10003448599,000000000023738688,0.136,Active Import Interval (kW),28-09-2024 11:30
10003448599,000000000023738688,0.096,Active Import Interval (kW),28-09-2024 11:00
10003448599,000000000023738688,0.096,Active Import Interval (kW),28-09-2024 10:30
